datetime,site,geometry,SWE,SWE_units,SNOWDEPTH,SNOWDEPTH_units,AVG AIR TEMP,AVG AIR TEMP_units,datasource
2019-10-01 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.0,in,0.0,in,47.66,degF,NRCS
2019-10-02 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.0,in,0.0,in,37.76,degF,NRCS
2019-10-03 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.0,in,0.0,in,40.64,degF,NRCS
2019-10-04 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.0,in,0.0,in,44.96,degF,NRCS
2019-10-05 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.0,in,0.0,in,33.8,degF,NRCS
2019-10-06 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.0,in,0.0,in,31.28,degF,NRCS
2019-10-07 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.0,in,0.0,in,38.66,degF,NRCS
2019-10-08 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.0,in,0.0,in,41.0,degF,NRCS
2019-10-09 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.0,in,0.0,in,41.72,degF,NRCS
2019-10-10 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.2,in,0.0,in,,,NRCS
2019-10-11 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.4,in,5.0,in,15.8,degF,NRCS
2019-10-12 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.5,in,3.0,in,27.86,degF,NRCS
2019-10-13 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.6,in,4.0,in,33.44,degF,NRCS
2019-10-14 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.7,in,2.0,in,38.12,degF,NRCS
2019-10-15 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.8,in,2.0,in,36.14,degF,NRCS
2019-10-16 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.8,in,2.0,in,40.82,degF,NRCS
2019-10-17 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.9,in,2.0,in,40.82,degF,NRCS
2019-10-18 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.9,in,2.0,in,29.48,degF,NRCS
2019-10-19 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),0.9,in,2.0,in,28.04,degF,NRCS
2019-10-20 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),1.2,in,4.0,in,15.98,degF,NRCS
2019-10-21 08:00:00+00:00,1186:CO:SNTL,POINT Z (-105.86765 39.86866 11156),1.8,in,10.0,in,17.42,degF,NRCS
