"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created"
"Adin Mtn","301	","California","SNOTEL","Modoc","6190","41.23583","-120.79192","180200021403	",,"1-26-2024, 11:42 AM EST"
"Agua Canyon","907	","Utah","SNOTEL","Kane","8900","37.52217","-112.27118","160300020301	",,"1-26-2024, 11:42 AM EST"
"Aiken Lake","4A30P	","British Columbia","Cooperator Snow Sensors","	","3481","56.43333","-125.73333","	",,"1-26-2024, 11:42 AM EST"
"Albro Lake","916	","Montana","SNOTEL","Madison","8300","45.59723","-111.95902","100200050701	",,"1-26-2024, 11:42 AM EST"
"Alexander Lake","1267	","Alaska","SNOTEL","Matanuska-Susitna","160","61.74967","-150.88967","190205051106	",,"1-26-2024, 11:42 AM EST"
"Alpine Meadows","908	","Washington","SNOTEL","King","3500","47.77957","-121.69847","171100100501	",,"1-26-2024, 11:42 AM EST"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1050","64.78969","-141.23376","190705050504	",,"1-26-2024, 11:42 AM EST"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1653","59.85972","-151.315","190203010701	",,"1-26-2024, 11:42 AM EST"
"Anchorage Hillside","1070	","Alaska","SNOTEL","Anchorage","2080","61.11483","-149.66683","190204010601	",,"1-26-2024, 11:42 AM EST"
"Aneroid Lake #2","302	","Oregon","SNOTEL","Wallowa","7400","45.21328","-117.19258","170601050101	",,"1-26-2024, 11:42 AM EST"
"Annie Springs","1000	","Oregon","SNOTEL","Klamath","6010","42.87007","-122.16518","180102030101	",,"1-26-2024, 11:42 AM EST"
"Apishapa","303	","Colorado","SNOTEL","Huerfano","10027","37.33067","-105.06766","110200060406	",,"1-26-2024, 11:42 AM EST"
"Arapaho Ridge","1030	","Colorado","SNOTEL","Grand","10976","40.35098","-106.38141","140100010604	",,"1-26-2024, 11:42 AM EST"
"Arbuckle Mtn","304	","Oregon","SNOTEL","Morrow","5770","45.19085","-119.25392","170702020604	",,"1-26-2024, 11:42 AM EST"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	",,"1-26-2024, 11:42 AM EST"
"Atwater","1308	","Utah","SNOTEL","Salt Lake","8753","40.59124","-111.63775","160202040202	",,"1-26-2024, 11:42 AM EST"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	",,"1-26-2024, 11:42 AM EST"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6900","48.13088","-113.02317","100302010201	",,"1-26-2024, 11:42 AM EST"
"Baker Butte","308	","Arizona","SNOTEL","Coconino","7363","34.45654","-111.40651","150602030206	",,"1-26-2024, 11:42 AM EST"
"Baker Butte Smt","1140	","Arizona","SNOTEL","Coconino","7752","34.45552","-111.38262","150602030103	",,"1-26-2024, 11:42 AM EST"
"Bald Mtn.","309	","Wyoming","SNOTEL","Big Horn","9380","44.8007","-107.84442","100800100501	",,"1-26-2024, 11:42 AM EST"
"Baldy","310	","Arizona","SNOTEL","Apache","9221","33.97845","-109.50357","150200010203	",,"1-26-2024, 11:42 AM EST"
"Banfield Mountain","311	","Montana","SNOTEL","Lincoln","5600","48.5712","-115.44573","170101011202	",,"1-26-2024, 11:42 AM EST"
"Banner Summit","312	","Idaho","SNOTEL","Boise","7040","44.30342","-115.23447","170501200202	",,"1-26-2024, 11:42 AM EST"
"Bar M","1212	","Arizona","SNOTEL","Coconino","6397","34.86142","-111.60497","150602020601	",,"1-26-2024, 11:42 AM EST"
"Barker Lakes","313	","Montana","SNOTEL","Deer Lodge","8250","46.09713","-113.13038","170102010304	",,"1-26-2024, 11:42 AM EST"
